App Id,App Name,Keyword,Brand,Volume,Max. Volume,Difficulty,Chance,KEI,Results,Rank,Rank Status,Growth (Yesterday),Monthly Downloads,Maximum Reach,Conversion Rate,Relevancy Score
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,simple photo widget,true,14,25,14,73,34,249,101,estimated,0,0,30,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,themes for android,false,14,25,41,73,34,250,44,estimated,0,0,31,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,widget panel,false,5,7,49,98,29,250,2,ranked,0,0,7,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control theme,false,7,7,19,100,33,250,1,ranked,0,1,10,10,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,cacall theme,false,5,5,27,83,25,239,5,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control change,false,5,5,25,90,27,203,4,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control panel widget,false,5,5,11,92,28,250,3,estimated,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control panels hel,false,5,5,34,74,22,180,10,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control panels helps,false,5,5,5,93,28,249,3,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control styl,false,5,5,0,83,25,250,5,ranked,-1,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control unlimited,false,5,5,34,88,26,184,4,ranked,141,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control widget design,false,5,5,21,99,30,222,1,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control wit,false,5,5,63,73,22,248,40,estimated,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,controlwidgets,true,5,5,6,99,30,208,1,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,cwidget theme,false,5,5,61,84,25,215,5,estimated,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,panels themes,false,5,5,26,99,30,250,1,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,stylish control panel,false,5,5,8,98,29,201,1,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,widget contr,false,5,5,23,100,30,228,1,ranked,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,widgets control,false,5,5,22,98,29,250,2,estimated,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,centro personalizado,false,5,5,0,73,22,250,55,ranked,-10,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control bars,false,5,5,23,73,22,250,41,estimated,0,0,0,0,null
com.control.widget.custom.panel.wallpaper.pack,Control Widget: Theme & Panels,control center theme,false,5,5,22,98,29,238,1,ranked,0,0,0,0,null
